HGNC ID	Approved Symbol	Approved Name	Previous Symbols	Synonyms	Name Synonyms	Accession Numbers	Gene Family Tag	UniProt ID(supplied by UniProt)
HGNC:38743	ST13P8	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 8						
HGNC:38744	ST13P9	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 9						
HGNC:38745	ST13P10	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 10						
HGNC:38746	ST13P11	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 11						
HGNC:38747	HERC2P8	hect domain and RLD 2 pseudogene 8						
HGNC:38748	USP9YP14	ubiquitin specific peptidase 9, Y-linked pseudogene 14						
HGNC:38749	SDIM1	stress responsive DNAJB4 interacting membrane protein 1				AK129633		Q6ZPB5
HGNC:3875	FRA1H	fragile site, 5-azacytidine type, common, fra(1)(q42)						
HGNC:38750	RBMY1KP	RNA binding motif protein, Y-linked, family 1, member K, pseudogene		RBMY1K				
HGNC:38751	USP9YP15	ubiquitin specific peptidase 9, Y-linked pseudogene 15						
HGNC:38752	USP9YP16	ubiquitin specific peptidase 9, Y-linked pseudogene 16						
HGNC:38753	USP9YP17	ubiquitin specific peptidase 9, Y-linked pseudogene 17						
HGNC:38754	USP9YP18	ubiquitin specific peptidase 9, Y-linked pseudogene 18						
HGNC:38755	USP9YP19	ubiquitin specific peptidase 9, Y-linked pseudogene 19						
HGNC:38757	USP9YP21	ubiquitin specific peptidase 9, Y-linked pseudogene 21						
HGNC:38758	USP9YP22	ubiquitin specific peptidase 9, Y-linked pseudogene 22						
HGNC:38759	USP9YP23	ubiquitin specific peptidase 9, Y-linked pseudogene 23						
HGNC:3876	FRA1I	fragile site, aphidicolin type, common, fra(1)(q44)						
HGNC:38760	USP9YP24	ubiquitin specific peptidase 9, Y-linked pseudogene 24						
HGNC:38761	USP9YP25	ubiquitin specific peptidase 9, Y-linked pseudogene 25						
HGNC:38762	USP9YP26	ubiquitin specific peptidase 9, Y-linked pseudogene 26						
HGNC:38763	USP9YP27	ubiquitin specific peptidase 9, Y-linked pseudogene 27						
HGNC:38764	USP9YP28	ubiquitin specific peptidase 9, Y-linked pseudogene 28						
HGNC:38765	USP9YP29	ubiquitin specific peptidase 9, Y-linked pseudogene 29						
HGNC:38766	USP9YP30	ubiquitin specific peptidase 9, Y-linked pseudogene 30						
HGNC:38767	USP9YP20	ubiquitin specific peptidase 9, Y-linked pseudogene 20						
HGNC:3877	FRA1J	fragile site, 5-azacytidine type, common, fra(1)(q12)						
HGNC:38775	USP9YP31	ubiquitin specific peptidase 9, Y-linked pseudogene 31						
HGNC:38776	USP9YP32	ubiquitin specific peptidase 9, Y-linked pseudogene 32						
HGNC:38777	USP9YP33	ubiquitin specific peptidase 9, Y-linked pseudogene 33						
HGNC:38778	USP9YP34	ubiquitin specific peptidase 9, Y-linked pseudogene 34						
HGNC:38779	USP9YP35	ubiquitin specific peptidase 9, Y-linked pseudogene 35						
HGNC:3878	FRA1K	fragile site, aphidicolin type, common, fra(1)(q31)						
HGNC:38780	USP9YP36	ubiquitin specific peptidase 9, Y-linked pseudogene 36						
HGNC:38781	GPM6BP2	glycoprotein M6B pseudogene 2						
HGNC:38782	GPM6BP1	glycoprotein M6B pseudogene 1						
HGNC:38783	GPM6BP3	glycoprotein M6B pseudogene 3						
HGNC:38785	PRYP5	PTPN13-like, Y-linked pseudogene 5						
HGNC:38786	PRYP6	PTPN13-like, Y-linked pseudogene 6						
HGNC:38787	ST13P12	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 12						
HGNC:38788	ST13P13	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 13						
HGNC:38789	HSFY5P	heat shock transcription factor, Y linked 5, pseudogene						
HGNC:3879	FRA1L	fragile site, aphidicolin type, common, fra(1)(p31)						
HGNC:38790	HSFY6P	heat shock transcription factor, Y linked 6, pseudogene						
HGNC:38791	HSFY7P	heat shock transcription factor, Y linked 7, pseudogene						
HGNC:38792	HSFY8P	heat shock transcription factor, Y linked 8, pseudogene						
HGNC:38793	NLGN4Y-AS1	NLGN4Y antisense RNA 1	NLGN4YAS, NLGN4Y-AS				LNCRNA, ANTISENSE	
HGNC:38794	BPY2DP	basic charge, Y-linked, 2D, pseudogene						
HGNC:38795	REREP1Y	arginine-glutamic acid dipeptide (RE) repeats pseudogene 1, Y-linked						
HGNC:38796	REREP2Y	arginine-glutamic acid dipeptide (RE) repeats pseudogene 2, Y-linked						
HGNC:38797	REREP3	arginine-glutamic acid dipeptide (RE) repeats pseudogene 3						
HGNC:38798	ZFY-AS1	ZFY antisense RNA 1	ZFYAS, ZFY-AS				LNCRNA, ANTISENSE	
HGNC:38799	EEF1A1P41	eukaryotic translation elongation factor 1 alpha 1 pseudogene 41						
HGNC:388	AKR1D1	aldo-keto reductase family 1, member D1	SRD5B1		"delta 4-3-ketosteroid-5-beta-reductase"	Z28339	AKR	P51857
HGNC:3880	FRA1M	fragile site, folic acid type, rare, fra(1)(p21.3)						
HGNC:38800	LINC00266-4P	long intergenic non-protein coding RNA 266-4, pseudogene	NCRNA00266D, NCRNA00266-4P	NCRNA00266Y2				
HGNC:38801	DNM1P48	DNM1 pseudogene 48						
HGNC:38803	LINC00280	long intergenic non-protein coding RNA 280	NCRNA00280				LNCRNA, INTERGENIC	
HGNC:38804	PCMTD1P1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 pseudogene 1						
HGNC:38805	PCMTD1P2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 pseudogene 2						
HGNC:38806	PCMTD1P3	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 pseudogene 3						
HGNC:38807	MTCYBP2	MT-CYB pseudogene 2						
HGNC:38808	PHF2P2	PHD finger protein 2 pseudogene 2						
HGNC:38809	LINC00283	long intergenic non-protein coding RNA 283	NCRNA00283				LNCRNA, INTERGENIC	
HGNC:3881	FRA20A	fragile site, folic acid type, rare, fra(20)(p11.23)						
HGNC:3882	FRA20B	fragile site, aphidicolin type, common, fra(20)(p12.2)						
HGNC:38824	C15orf38-AP3S2	C15orf38-AP3S2 readthrough						
HGNC:38825	EPPIN-WFDC6	EPPIN-WFDC6 readthrough	SPINLW1-WFDC6					O95925
HGNC:38828	LY75-CD302	LY75-CD302 readthrough						
HGNC:3883	FRA22A	fragile site, folic acid type, rare, fra(22)(q13)						
HGNC:38830	ARPC4-TTLL3	ARPC4-TTLL3 readthrough						
HGNC:38831	NT5C1B-RDH14	NT5C1B-RDH14 readthrough						
HGNC:38834	TMEM110-MUSTN1	TMEM110-MUSTN1 readthrough						
HGNC:38836	TAF9BP2	TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa pseudogene 2						
HGNC:38838	MSANTD3-TMEFF1	MSANTD3-TMEFF1 readthrough	C9orf30-TMEFF1					
HGNC:3884	FRA22B	fragile site, aphidicolin type, common, fra(22)(q12.2)						
HGNC:38840	RBM14-RBM4	RBM14-RBM4 readthrough					RBM	
HGNC:38842	IQCJ-SCHIP1	IQCJ-SCHIP1 readthrough						
HGNC:38843	APITD1-CORT	APITD1-CORT readthrough						
HGNC:38844	ATP5J2-PTCD1	ATP5J2-PTCD1 readthrough						
HGNC:38845	TRIM39-RPP21	TRIM39-RPP21 readthrough						
HGNC:38847	RNF103-CHMP3	RNF103-CHMP3 readthrough	RNF103-VPS24					
HGNC:38849	ST13P14	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 14						
HGNC:3885	FRA2A	fragile site, folic acid type, rare, fra(2)(q11.2)						
HGNC:38850	ST13P15	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 15						
HGNC:38851	ST13P16	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 16						
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough (NMD candidate)						
HGNC:38859	ST13P17	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 17						
HGNC:3886	FRA2B	fragile site, folic acid type, rare, fra(2)(q13)						
HGNC:38861	ST13P18	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 18						
HGNC:38862	ST13P19	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 19						
HGNC:38863	ST13P20	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 20						
HGNC:38864	ST13P21	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 21						
HGNC:38865	ST13P22	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 22						
HGNC:38866	CCDC169-SOHLH2	CCDC169-SOHLH2 readthrough	C13orf38-SOHLH2					
HGNC:38869	TVP23BP2	trans-golgi network vesicle protein 23 homolog B (S. cerevisiae) pseudogene 2	FAM18B4P					
HGNC:3887	FRA2C	fragile site, aphidicolin type, common, fra(2)(p24.2)						
HGNC:38872	PINK1-AS	PINK1 antisense RNA	PINK1-AS1	FLJ00387, PINK1AS		AK090466	LNCRNA, ANTISENSE	
HGNC:38873	COX10-AS1	COX10 antisense RNA 1	COX10AS, COX10-AS				LNCRNA, ANTISENSE	
HGNC:38876	GVINP2	GTPase, very large interferon inducible pseudogene 2						
HGNC:38877	TRIM49C	tripartite motif containing 49C	TRIM49L2			BC126470	TRIM	P0CI26
HGNC:38878	DFNA63	deafness, autosomal dominant 63						
HGNC:38879	ZNF816-ZNF321P	ZNF816-ZNF321P readthrough	ZNF816-ZNF321			AK316503		
HGNC:3888	FRA2D	fragile site, aphidicolin type, common, fra(2)(p16.2)						
HGNC:38880	MIR676	microRNA 676		hsa-mir-676			MIR	
HGNC:38881	MIR3606	microRNA 3606		hsa-mir-3606			MIR	
HGNC:38882	MIR3659	microRNA 3659		hsa-mir-3659			MIR	
HGNC:38883	MIR3926-2	microRNA 3926-2		hsa-mir-3926-2			MIR	
HGNC:38884	MIR3913-1	microRNA 3913-1		hsa-mir-3913-1			MIR	
HGNC:38885	MIR3692	microRNA 3692		hsa-mir-3692			MIR	
HGNC:38886	MIR3685	microRNA 3685		hsa-mir-3685			MIR	
HGNC:38887	MIR3686	microRNA 3686		hsa-mir-3686			MIR	
HGNC:38888	MIR3943	microRNA 3943		hsa-mir-3943			MIR	
HGNC:38889	MIR3656	microRNA 3656		hsa-mir-3656			MIR	
HGNC:3889	FRA2E	fragile site, aphidicolin type, common, fra(2)(p13)						
HGNC:38890	MIR3919	microRNA 3919		hsa-mir-3919			MIR	
HGNC:38891	MIR3678	microRNA 3678		hsa-mir-3678			MIR	
HGNC:38892	MIR3661	microRNA 3661		hsa-mir-3661			MIR	
HGNC:38893	MIR3940	microRNA 3940		hsa-mir-3940			MIR	
HGNC:38894	MIR3652	microRNA 3652		hsa-mir-3652			MIR	
HGNC:38895	MIR3922	microRNA 3922		hsa-mir-3922			MIR	
HGNC:38896	MIR3654	microRNA 3654		hsa-mir-3654			MIR	
HGNC:38897	MIR3651	microRNA 3651		hsa-mir-3651			MIR	
HGNC:38898	MIR3944	microRNA 3944		hsa-mir-3944			MIR	
HGNC:38899	MIR3664	microRNA 3664		hsa-mir-3664			MIR	
HGNC:389	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)		AFAR		AF026947	AKR	O43488
HGNC:3890	FRA2F	fragile site, aphidicolin type, common, fra(2)(q21.3)						
HGNC:38900	MIR3607	microRNA 3607		hsa-mir-3607			MIR	
HGNC:38901	MIR3927	microRNA 3927		hsa-mir-3927			MIR	
HGNC:38902	MIR642B	microRNA 642b		hsa-mir-642b			MIR	
HGNC:38904	MIR3689A	microRNA 3689a		hsa-mir-3689a			MIR	
HGNC:38905	MIR3615	microRNA 3615		hsa-mir-3615			MIR	
HGNC:38906	MIR3657	microRNA 3657		hsa-mir-3657			MIR	
HGNC:38907	MIR374C	microRNA 374c		hsa-mir-374c			MIR	
HGNC:38908	MIR3673	microRNA 3673		hsa-mir-3673			MIR	
HGNC:38909	MIR3691	microRNA 3691		hsa-mir-3691			MIR	
HGNC:3891	FRA2G	fragile site, aphidicolin type, common, fra(2)(q31)						
HGNC:38910	MIR550B2	microRNA 550b-2		hsa-mir-550b-2			MIR	
HGNC:38911	MIR3917	microRNA 3917		hsa-mir-3917			MIR	
HGNC:38912	MIR3916	microRNA 3916		hsa-mir-3916			MIR	
HGNC:38913	MIR23C	microRNA 23c		hsa-mir-23c			MIR	
HGNC:38914	MIR3611	microRNA 3611		hsa-mir-3611			MIR	
HGNC:38915	MIR3674	microRNA 3674		hsa-mir-3674			MIR	
HGNC:38916	MIR3682	microRNA 3682		hsa-mir-3682			MIR	
HGNC:38917	MIR3620	microRNA 3620		hsa-mir-3620			MIR	
HGNC:38918	MIR3935	microRNA 3935		hsa-mir-3935			MIR	
HGNC:38919	MIR3918	microRNA 3918		hsa-mir-3918			MIR	
HGNC:3892	FRA2H	fragile site, aphidicolin type, common, fra(2)(q32.1)						
HGNC:38920	MIR3180-4	microRNA 3180-4		hsa-mir-3180-4			MIR	
HGNC:38921	MIR548AA2	microRNA 548aa-2		hsa-mir-548aa-2			MIR	
HGNC:38922	MIR3605	microRNA 3605		hsa-mir-3605			MIR	
HGNC:38923	MIR3912	microRNA 3912		hsa-mir-3912			MIR	
HGNC:38924	MIR3689B	microRNA 3689b		hsa-mir-3689b			MIR	
HGNC:38925	MIR3671	microRNA 3671		hsa-mir-3671			MIR	
HGNC:38926	MIR3713	microRNA 3713		hsa-mir-3713			MIR	
HGNC:38927	MIR3676	microRNA 3676		hsa-mir-3676			MIR	
HGNC:38928	MIR3714	microRNA 3714		hsa-mir-3714			MIR	
HGNC:38929	MIR548Z	microRNA 548z		hsa-mir-548z			MIR	
HGNC:3893	FRA2I	fragile site, aphidicolin type, common, fra(2)(q33)						
HGNC:38930	MIR3621	microRNA 3621		hsa-mir-3621			MIR	
HGNC:38931	MIR3939	microRNA 3939		hsa-mir-3939			MIR	
HGNC:38932	MIR3677	microRNA 3677		hsa-mir-3677			MIR	
HGNC:38933	MIR3928	microRNA 3928		hsa-mir-3928			MIR	
HGNC:38934	MIR3622A	microRNA 3622a		hsa-mir-3622a			MIR	
HGNC:38935	MIR3646	microRNA 3646		hsa-mir-3646			MIR	
HGNC:38936	MIR3921	microRNA 3921		hsa-mir-3921			MIR	
HGNC:38937	MIR3618	microRNA 3618		hsa-mir-3618			MIR	
HGNC:38938	MIR3150B	microRNA 3150b		hsa-mir-3150b			MIR	
HGNC:38939	MIR3665	microRNA 3665		hsa-mir-3665			MIR	
HGNC:3894	FRA2J	fragile site, aphidicolin type, common, fra(2)(q37.3)						
HGNC:38940	MIR3666	microRNA 3666		hsa-mir-3666			MIR	
HGNC:38941	MIR3648	microRNA 3648		hsa-mir-3648			MIR	
HGNC:38942	MIR3610	microRNA 3610		hsa-mir-3610			MIR	
HGNC:38943	MIR3616	microRNA 3616		hsa-mir-3616			MIR	
HGNC:38944	MIR548AA1	microRNA 548aa-1		hsa-mir-548aa-1			MIR	
HGNC:38945	MIR3929	microRNA 3929		hsa-mir-3929			MIR	
HGNC:38946	MIR3687	microRNA 3687		hsa-mir-3687			MIR	
HGNC:38947	MIR3936	microRNA 3936		hsa-mir-3936			MIR	
HGNC:38948	MIR3649	microRNA 3649		hsa-mir-3649			MIR	
HGNC:38949	MIR3941	microRNA 3941		hsa-mir-3941			MIR	
HGNC:3895	FRA2K	fragile site, folic acid type, rare, fra(2)(q22.3)						
HGNC:38950	MIR3684	microRNA 3684		hsa-mir-3684			MIR	
HGNC:38951	MIR3612	microRNA 3612		hsa-mir-3612			MIR	
HGNC:38952	MIR3910-2	microRNA 3910-2		hsa-mir-3910-2			MIR	
HGNC:38953	MIR3913-2	microRNA 3913-2		hsa-mir-3913-2			MIR	
HGNC:38954	MIR3945	microRNA 3945		hsa-mir-3945			MIR	
HGNC:38955	MIR3915	microRNA 3915		hsa-mir-3915			MIR	
HGNC:38956	MIR3609	microRNA 3609		hsa-mir-3609			MIR	
HGNC:38957	MIR3672	microRNA 3672		hsa-mir-3672			MIR	
HGNC:38958	MIR3663	microRNA 3663		hsa-mir-3663			MIR	
HGNC:38959	MIR3926-1	microRNA 3926-1		hsa-mir-3926-1			MIR	
HGNC:3896	FRA3A	fragile site, aphidicolin type, common, fra(3)(p24.2)						
HGNC:38960	MIR3655	microRNA 3655		hsa-mir-3655			MIR	
HGNC:38961	MIR3622B	microRNA 3622b		hsa-mir-3622b			MIR	
HGNC:38962	MIR3911	microRNA 3911		hsa-mir-3911			MIR	
HGNC:38963	MIR3658	microRNA 3658		hsa-mir-3658			MIR	
HGNC:38964	MIR3613	microRNA 3613		hsa-mir-3613			MIR	
HGNC:38965	MIR3934	microRNA 3934		hsa-mir-3934			MIR	
HGNC:38966	MIR3910-1	microRNA 3910-1		hsa-mir-3910-1			MIR	
HGNC:38967	MIR3690	microRNA 3690		hsa-mir-3690			MIR	
HGNC:38968	MIR3669	microRNA 3669		hsa-mir-3669			MIR	
HGNC:38969	MIR3180-5	microRNA 3180-5		hsa-mir-3180-5			MIR	
HGNC:3897	FRA3B	fragile site, aphidicolin type, common, fra(3)(p14.2)						
HGNC:38970	MIR3937	microRNA 3937		hsa-mir-3937			MIR	
HGNC:38971	MIR3653	microRNA 3653		hsa-mir-3653			MIR	
HGNC:38972	MIR3938	microRNA 3938		hsa-mir-3938			MIR	
HGNC:38973	MIR3675	microRNA 3675		hsa-mir-3675			MIR	
HGNC:38974	MIR3920	microRNA 3920		hsa-mir-3920			MIR	
HGNC:38975	MIR3914-2	microRNA 3914-2		hsa-mir-3914-2			MIR	
HGNC:38976	MIR3942	microRNA 3942		hsa-mir-3942			MIR	
HGNC:38977	MIR3617	microRNA 3617		hsa-mir-3617			MIR	
HGNC:38978	MIR3923	microRNA 3923		hsa-mir-3923			MIR	
HGNC:38979	MIR3679	microRNA 3679		hsa-mir-3679			MIR	
HGNC:3898	FRA3C	fragile site, aphidicolin type, common, fra(3)(q27)						
HGNC:38980	MIR548Y	microRNA 548y		hsa-mir-548y			MIR	
HGNC:38981	MIR3650	microRNA 3650		hsa-mir-3650			MIR	
HGNC:38982	MIR3668	microRNA 3668		hsa-mir-3668			MIR	
HGNC:38983	MIR3662	microRNA 3662		hsa-mir-3662			MIR	
HGNC:38984	MIR3924	microRNA 3924		hsa-mir-3924			MIR	
HGNC:38985	MIR3660	microRNA 3660		hsa-mir-3660			MIR	
HGNC:38986	MIR3688-1	microRNA 3688-1	MIR3688	hsa-mir-3688, hsa-mir-3688-1			MIR	
HGNC:38987	MIR3909	microRNA 3909		hsa-mir-3909			MIR	
HGNC:38988	MIR3907	microRNA 3907		hsa-mir-3907			MIR	
HGNC:38989	MIR3680-1	microRNA 3680-1	MIR3680	hsa-mir-3680			MIR	
HGNC:3899	FRA3D	fragile site, aphidicolin type, common, fra(3)(q25)						
HGNC:38990	MIR3667	microRNA 3667		hsa-mir-3667			MIR	
HGNC:38991	MIR3908	microRNA 3908		hsa-mir-3908			MIR	
HGNC:38992	MIR550B1	microRNA 550b-1		hsa-mir-550b-1			MIR	
HGNC:38993	MIR3914-1	microRNA 3914-1		hsa-mir-3914-1			MIR	
HGNC:38994	MIR3681	microRNA 3681		hsa-mir-3681			MIR	
HGNC:38995	MIR3614	microRNA 3614		hsa-mir-3614			MIR	
HGNC:38996	MIR3925	microRNA 3925		hsa-mir-3925			MIR	
HGNC:38997	MIR3670-1	microRNA 3670-1	MIR3670	hsa-mir-3670			MIR	
HGNC:38998	MIR3619	microRNA 3619		hsa-mir-3619			MIR	
HGNC:38999	MIR3683	microRNA 3683		hsa-mir-3683			MIR	
HGNC:39	ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9		EST640918		AF423307	ABCA	Q8IUA7
HGNC:390	AKR7A3	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)				AF040639	AKR	O95154
HGNC:3900	FRA4A	fragile site, aphidicolin type, common, fra(4)(p16.1)						
HGNC:39000	ERVK-1	endogenous retrovirus group K, member 1		c1_A		FN806826, BQ304053		
HGNC:39001	ERVK-2	endogenous retrovirus group K, member 2		c3_A		DQ112099, FN806829, EF153331		
HGNC:39002	ERVK-3	endogenous retrovirus group K, member 3		c3_B		FN806830		
HGNC:39003	RNU4ATAC2P	RNA, U4atac small nuclear 2, pseudogene						
HGNC:39004	ERVK-10	endogenous retrovirus group K, member 10			"HERV-K_5q33.3 provirus ancestral Gag polyprotein", "HERV-K_5q33.3 provirus Np9 protein", "HERV-K_5q33.3 provirus ancestral Pol protein", "HERV-K_5q33.3 provirus ancestral Pro protein"	FN806835, CF227253, CN345079, AF164613		
HGNC:39005	ERVK-9	endogenous retrovirus group K, member 9			"HERV-K_6q14.1 provirus ancestral Env polyprotein", "HERV-K_6q14.1 provirus ancestral Gag polyprotein", "HERV-K_6q14.1 provirus ancestral Gag-Pol polyprotein", "HERV-K_6q14.1 provirus ancestral Pro protein"	FN806836, AF080234, AY371030		
HGNC:39006	ERVK-11	endogenous retrovirus group K, member 11		c3_E, N8.4	"HERV-K_3q27.3 provirus ancestral Pol protein"	FN806833, EF153348, AF080229, U87590		
HGNC:39007	ERVK-12	endogenous retrovirus group K, member 12				FN806834, EF153341, DQ112093		
HGNC:39008	ERVK-13	endogenous retrovirus group K, member 13		c3_D		FN806832		
HGNC:39009	RCAN3AS	RCAN3 antisense				HQ317424, HQ317425, HQ419072		
HGNC:3901	FRA4B	fragile site, BrdU type, common, fra(4)(q12)						
HGNC:39010	UBE2D3P2	ubiquitin-conjugating enzyme E2D 3 pseudogene 2						
HGNC:39011	UBE2D3P3	ubiquitin-conjugating enzyme E2D 3 pseudogene 3						
HGNC:39012	SUMO2P2	SUMO2 pseudogene 2						
HGNC:39013	SUMO2P3	SUMO2 pseudogene 3						
HGNC:39014	SUMO2P4	SUMO2 pseudogene 4						
HGNC:39015	SUMO2P5	SUMO2 pseudogene 5						
HGNC:39016	SUMO2P6	SUMO2 pseudogene 6						
HGNC:39017	SUMO2P7	SUMO2 pseudogene 7						
HGNC:39018	SUMO2P8	SUMO2 pseudogene 8						
HGNC:39019	ERVK-14	endogenous retrovirus group K, member 14		c7_B		FN806838		
HGNC:3902	FRA4C	fragile site, aphidicolin type, common, fra(4)(q31.1)						
HGNC:39020	HMGN2P15	high mobility group nucleosomal binding domain 2 pseudogene 15					HMGNP	
HGNC:39021	ELK1P1	ELK1, member of ETS oncogene family pseudogene 1						
HGNC:39022	ERVK-15	endogenous retrovirus group K, member 15		c7_C, P1.10		FN806839, U87594		
HGNC:39023	ERVK-16	endogenous retrovirus group K, member 16		c10_A., M3.8	"HERV-K_10p14 provirus Rec protein"	FN806841, EF543114, U87587, DQ112100		
HGNC:39024	ERVK-17	endogenous retrovirus group K, member 17				FN806842		
HGNC:39025	ERVK-18	endogenous retrovirus group K, member 18		c1_C, HERV-K18	"HERV-K_1q23.3 provirus ancestral Env polyprotein", "endogenous retrovirus K-18", "IDDMK1,2-22", "HERV-K_1q23.3 provirus ancestral Pol protein", "HERV-K_1q23.3 provirus ancestral Pro protein"	FN806828, AF012336		
HGNC:39026	ERVK-19	endogenous retrovirus group K, member 19		P1.8, HERV-K(C19), envK3	"HERV-K_19q11 provirus ancestral Env polyprotein", "HERV-K_19q11 provirus ancestral Pol protein", "HERV-K_19q11 provirus ancestral Gag polyprotein", "HERV-K_19q12 provirus ancestral Pro protein"	U87593, AY395519		
HGNC:39027	ALOX15P2	arachidonate 15-lipoxygenase pseudogene 2						
HGNC:39028	YWHAZP7	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta pseudogene 7						
HGNC:39029	YWHAZP8	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta pseudogene 8						
HGNC:3903	FRA4D	fragile site, aphidicolin type, common, fra(4)(p15)						
HGNC:39030	YWHAZP9	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta pseudogene 9						
HGNC:39031	ERVK-20	endogenous retrovirus group K, member 20		c11_B		FN806844, DQ112095		
HGNC:39032	PCBP2P3	poly(rC) binding protein 2 pseudogene 3						
HGNC:39033	UQCRBP3	ubiquinol-cytochrome c reductase binding protein pseudogene 3						
HGNC:39035	ERVK-21	endogenous retrovirus group K, member 21		c12_A, envK1	"HERV-K_12q14.1 provirus ancestral Env polyprotein", "HERV-K_12q14.1 provirus ancestral Gag polyprotein", "HERV-K_12q14.1 provirus ancestral Pro protein", "HERV-K_12q14.1 provirus Rec protein"	FN806845, U32496		
HGNC:39036	ERVK-22	endogenous retrovirus group K, member 22		c19_A		FN806846, EF153351		
HGNC:39037	ERVK-23	endogenous retrovirus group K, member 23		c21_A		FN806847, EF543113		
HGNC:39038	ERVK-24	endogenous retrovirus group K, member 24		c22_A, HERV-K101	"HERV-K_22q11.21 provirus ancestral Env polyprotein", "HERV-K_22q11.21 provirus ancestral Gag polyprotein", "HERV-K_22q11.21 provirus Np9 protein", "HERV-K_22q11.21 provirus ancestral Pro protein"	FN806848, AU124350		
HGNC:39039	ERVK-25	endogenous retrovirus group K, member 25		c11_A	"HERV-K_11q22.1 provirus ancestral Env polyprotein", "HERV-K_11q22.1 provirus ancestral Pol protein", "HERV-K_11q22.1 provirus Rec protein", "HERV-K_11q22.1 provirus ancestral Pro protein"	FN806843, CF227268, AW818206		
HGNC:39040	ERVK3-2	endogenous retrovirus group K3, member 2		HML6-c14		AK027828, AK096726, CR591084		
HGNC:39041	ERVW-3	endogenous retrovirus group W, member 3		CL4		AF127227		
HGNC:39042	ERVPABLB-1	endogenous retrovirus group PABLB, member 1		envR(b)	"HERV-R(b)_3p24.3 provirus ancestral Env polyprotein"	BQ012865, CF529244, AI189490		
HGNC:39043	ERVW-4	endogenous retrovirus group W, member 4		C187-23		AF123882, EF539878		
HGNC:39044	ERVW-5	endogenous retrovirus group W, member 5		CL2		AF123881		
HGNC:39045	ERVW-6	endogenous retrovirus group W, member 6				AK022306, AB063619		
HGNC:39046	ZFYVE9P2	zinc finger, FYVE domain containing 9 pseudogene 2						
HGNC:39047	ERVFH21-1	endogenous retrovirus group FH21, member 1		HERV-F(XA34)		AK023847		
HGNC:39048	ERVE-2	endogenous retrovirus group E, member 2				FM212575		
HGNC:39049	ERVE-3	endogenous retrovirus group E, member 3				FM212573		
HGNC:3905	FRA5A	fragile site, BrdU type, common, fra(5)(p13)						
HGNC:39050	ERVE-4	endogenous retrovirus group E, member 4		CT-RCC-1		EU137846		
HGNC:39051	ERVV-2	endogenous retrovirus group V, member 2				AI434519, CA417098, DA863698		B6SEH9
HGNC:39052	ERVI-1	endogenous retrovirus group I, member 1				AK124340, AK124077		
HGNC:39053	ERVH-1	endogenous retrovirus group H, member 1		HERV-H4p15.2		EU669866, BC015108		
HGNC:39054	ERVH-2	endogenous retrovirus group H, member 2		HERV-HX		EU195218, EU195219		
HGNC:39055	ERVH-3	endogenous retrovirus group H, member 3		HERV-H/F		AJ431196		
HGNC:39056	HERC2P10	hect domain and RLD 2 pseudogene 10						
HGNC:39057	ERVH-5	endogenous retrovirus group H, member 5			"clone c14.6"	U35033		
HGNC:39058	ERVH-6	endogenous retrovirus group H, member 6				U88898		
HGNC:39059	ERVH-7	endogenous retrovirus group H, member 7				BC039675, T67812		
HGNC:3906	FRA5B	fragile site, BrdU type, common, fra(5)(q15)						
HGNC:39060	ERV9-1	endogenous retrovirus group 9, member 1		pTR2		X15673, X15675, X57147		
HGNC:39062	AK3P3	adenylate kinase 3 pseudogene 3						
